Datum,Lag, HD, HD, LD, LD, Domarcoach;
2018-01-13 18:00:00,OHK-SAIK,Mikael Sjöqvist,Sören Persson,Andreas Malmqvist,Rickard Nilsson,;
2018-01-14 14:00:00,FBK-KHK,Mikael Sjöqvist,Mikael Holm,Andreas Lundén,David Laksola,;
2018-01-18 19:00:00,SAIK-KHK,Andreas Harnebring,Patrik Sjöberg,Jan Sandström,Emil Yletyinen,;
2018-01-18 19:00:00,RBK-MIK,Tobias Björk,Morgan Johansson,Ludvig Lundgren,Anders Jansson,;
2018-01-18 19:00:00,VLH-LHF,Mikael Sjöqvist,Marcus Linde,Johan Löfgren,Anders Nyqvist,;
2018-01-18 19:00:00,FHC-FBK,Mikael Andersson,Sören Persson,Henrik Pihlblad,Alexander Waldejer,;
2018-01-18 19:00:00,DIF-BIF,Linus Öhlund,Mikael Nord,Fredrik Altberg,Jimmy Dahmén,;
2018-01-18 19:00:00,OHK-LHC,Daniel Winge,Wolmer Edqvist,Gustav Jonsson,Örjan Åhlén,;
2018-01-19 19:00:00,HV71-MIF,Mikael Sjöqvist,Mikael Holm,Anders Nyqvist,Johan Löfgren,;
2018-01-20 15:15:00,FBK-SAIK,Marcus Linde,Mikael Andersson,Daniel Persson,Andreas Lundén,;
2018-01-20 15:15:00,BIF-DIF,Linus Öhlund,Daniel Winge,Tobias Nordlander,David Laksola,;
2018-01-20 15:15:00,VLH-LHC,Tobias Björk,Mikael Holm,Alexander Waldejer,Ludvig Lundgren,;
2018-01-20 18:00:00,OHK-RBK,Mikael Sjöqvist,Mikael Nord,Simon Hillborg,Gustav Jonsson,;
2018-01-20 18:00:00,KHK-MIK,Pehr Claesson,Morgan Johansson,Andreas Malmqvist,Rickard Nilsson,;
2018-01-20 18:00:00,FHC-LHF,Patrik Sjöberg,Andreas Harnebring,Henrik Pihlblad,Anders Jansson,;
2018-01-23 19:00:00,LHC-OHK,Mikael Andersson,Mikael Sjöqvist,Rickard Nilsson,Andreas Lundén,;
2018-01-23 19:00:00,MIF-HV71,Mikael Nord,Marcus Linde,Ludvig Lundgren,Viktor Hafsäter,;
2018-01-25 19:00:00,KHK-FHC,Linus Öhlund,Tobias Björk,Anders Nyqvist,Viktor Hafsäter,;
2018-01-25 19:00:00,LHF-FBK,Mikael Sjöqvist,Morgan Johansson,Emil Yletyinen,Johannes Käck,;
2018-01-25 19:00:00,MIK-VLH,Mikael Andersson,Wolmer Edqvist,David Laksola,Daniel Persson,;
2018-01-25 19:00:00,OHK-MIF,Patric Bjälkander,Daniel Winge,Simon Hillborg,Gustav Jonsson,;
2018-01-25 19:00:00,BIF-LHC,Marcus Linde,Andreas Harnebring,Emil Wernström,Jimmy Dahmén,;
2018-01-25 19:00:00,DIF-RBK,Sören Persson,Mikael Holm,Fredrik Altberg,Örjan Åhlén,;
2018-01-25 19:00:00,HV71-SAIK,Mikael Nord,Patrik Sjöberg,Johan Löfgren,Andreas Malmqvist,;
2018-01-27 15:15:00,SAIK-FHC,Mikael Sjöqvist,Morgan Johansson,Johannes Käck,Jan Sandström,;
2018-01-27 15:15:00,RBK-KHK,Mikael Nord,Patrik Sjöberg,Henrik Pihlblad,Alexander Waldejer,;
2018-01-27 15:15:00,MIF-MIK,Pehr Claesson,Patric Bjälkander,Ludvig Lundgren,Viktor Hafsäter,;
2018-01-27 15:15:00,LHC-LHF,Marcus Linde,Daniel Winge,Jimmy Dahmén,Emil Wernström,;
2018-01-27 18:00:00,VLH-DIF,Mikael Holm,Mikael Andersson,Rickard Nilsson,Anders Nyqvist,;
2018-01-27 18:00:00,FBK-OHK,Andreas Harnebring,Sören Persson,Johan Löfgren,Andreas Malmqvist,;
2018-01-27 18:00:00,HV71-BIF,Tobias Björk,Linus Öhlund,Fredrik Altberg,Örjan Åhlén,;
2018-01-28 14:00:00,FBK-LHF,Sören Persson,Andreas Harnebring,Johan Löfgren,Andreas Malmqvist,;
2018-01-28 15:15:00,MIK-MIF,Wolmer Edqvist,Daniel Winge,Tobias Nordlander,Andreas Lundén,;
